Question,Answer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,LLAMA,GPT4,DPR,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
"In 2016, who was the host of the longest running American game show?",Drew Carey,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,1.0,,,0.0,0.0,,1.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,1.0,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,1.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"In 2016, who was the host of the longest running American game show?",Drew Carey,0,0,0,0.0,0.0,0,0
Who wrote the novel on which the longest running show in Broadway history is based on?,Gaston Leroux,0.0,1.0,,,0.0,,,,1.0,1.0,,,,,1.0,0.0,,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,1.0,0.0,,,,,,,0.0,,0.0,,,,1.0,,,,,1.0,,,,0.0,,,,,,,,0.0,,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,0.0,,,,,,,,1.0,,0.0,,,,0.0,1.0,0.0,Who wrote the novel on which the longest running show in Broadway history is based on?,Gaston Leroux,0,1,0,0.0,0.0,0,1
In what country was the only cruise line that flies the American flag incorporated in?,Bermuda,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,1.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,0.0,In what country was the only cruise line that flies the American flag incorporated in?,Bermuda,0,1,0,0.0,0.0,0,1
In what year did work begin on the second longest road tunnel in the world?,1992,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,1.0,,,,,0.0,0.0,0.0,In what year did work begin on the second longest road tunnel in the world?,1992,0,0,0,0.0,0.0,0,0
What is the official color of the third oldest surviving university?,Cambridge Blue,,,0.0,0.0,,,,,,,,,1.0,,,,,,,,,0.0,1.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,1.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,1.0,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,1.0,,,,,0.0,,1.0,1.0,0.0,What is the official color of the third oldest surviving university?,Cambridge Blue,0,0,0,0.0,0.0,0,0
Who succeeded the longest reigning Roman emperor?,Tiberius,,,,,0.0,0.0,,,0.0,,,,1.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,1.0,,,,,,0.0,0.0,,,,,,,,1.0,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,0.0,,,,1.0,,,,,0.0,,0.0,0.0,0.0,Who succeeded the longest reigning Roman emperor?,Tiberius,0,1,0,0.0,0.0,0,0
Who preceded the Roman emperor that declared war on the sea?,Tiberius,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,1.0,,,,0.0,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,Who preceded the Roman emperor that declared war on the sea?,Tiberius,0,0,0,0.0,0.0,0,0
Who produced the longest running video game franchise?,MECC,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,Who produced the longest running video game franchise?,MECC,0,0,0,0.0,0.0,0,0
Who was the father of the father of psychoanalysis?,Jacob Freud,,1.0,,,1.0,,,,,1.0,,,,,0.0,,0.0,,1.0,,,,,,,1.0,,,1.0,,,,0.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,0.0,,,0.0,,,,,,,,1.0,,,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,,,,1.0,0.0,,,,0.0,,,,,,0.0,,,,1.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,1.0,0.0,Who was the father of the father of psychoanalysis?,Jacob Freud,1,1,0,0.0,1.0,1,1
Who was the father of the father of empiricism?,Sir Nicholas Bacon,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,1.0,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,1.0,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,Who was the father of the father of empiricism?,Sir Nicholas Bacon,0,0,0,0.0,0.0,0,0
Who is the father of the father of observational astronomy?,Vincenzo Galilei,,,,,,,,,,,,,1.0,,0.0,,,,1.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,0.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,1.0,,1.0,,,,,,0.0,,,,,,,0.0,,,,,,1.0,,,,,1.0,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,1.0,0.0,Who is the father of the father of observational astronomy?,Vincenzo Galilei,0,0,0,0.0,0.0,0,0
Who is the father of the father of modern Hebrew?,Yehuda Leib,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,Who is the father of the father of modern Hebrew?,Yehuda Leib,0,0,0,0.0,0.0,0,0
Who is the father of the father of modern experimental psychology?,Maximilian Wundt,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,Who is the father of the father of modern experimental psychology?,Maximilian Wundt,0,0,0,0.0,0.0,0,0
Who is the father of the originator of cybernetics?,Leo Wiener,,,,,,1.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,1.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,1.0,,,,,,0.0,,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,0.0,,,,,0.0,0.0,0.0,Who is the father of the originator of cybernetics?,Leo Wiener,0,1,0,0.0,0.0,0,0
Who is the father of the father of the hydrogen bomb?,Max Teller,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,1.0,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,1.0,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,Who is the father of the father of the hydrogen bomb?,Max Teller,0,0,0,0.0,0.0,0,0
Who was the father of the father of computer science?,Julius Mathison Turing,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,,,1.0,,,1.0,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,1.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,0.0,Who was the father of the father of computer science?,Julius Mathison Turing,0,1,0,0.0,0.0,0,0
Who was the father of the father of behaviorism?,Pickens Butler Watson,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,Who was the father of the father of behaviorism?,Pickens Butler Watson,0,0,0,0.0,0.0,0,0
Who was the father of the founder of modern human anatomy?,Anders van Wesel,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,Who was the father of the founder of modern human anatomy?,Anders van Wesel,0,0,0,0.0,0.0,0,0
What was the father of the last surviving Canadian father of Confederation?,Charles Tupper Sr.,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,What was the father of the last surviving Canadian father of Confederation?,Charles Tupper Sr.,0,0,0,0.0,0.0,1,0
"When was the person who said “Now, I am become Death, the destroyer of worlds.” born?","April 22, 1904",,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,1.0,,0.0,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,1.0,,,,0.0,,,,,0.0,,,1.0,,,,,,,0.0,,0.0,,,,,1.0,,,,0.0,1.0,0.0,"When was the person who said “Now, I am become Death, the destroyer of worlds.” born?","April 22, 1904",0,0,0,0.0,0.0,0,1
Who was the father of the father of information theory?,Claude Sr.,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,0.0,,,0.0,,0.0,,,1.0,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,Who was the father of the father of information theory?,Claude Sr.,0,0,0,0.0,0.0,1,0
"When was the person who delivered the ""Quit India"" speech born?","October 2, 1869",,,,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,1.0,0.0,"When was the person who delivered the ""Quit India"" speech born?","October 2, 1869",0,1,0,0.0,0.0,0,1
When did the president who warned about the military industrial complex die?,"March 28, 1969",,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.0,,,1.0,0.0,,,,,1.0,0.0,,,,,,,0.0,,0.0,,,,,0.0,1.0,0.0,When did the president who warned about the military industrial complex die?,"March 28, 1969",0,0,0,0.0,0.0,0,1
When did the president who said Tear Down This Wall die?,"June 5, 2004",,,,1.0,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,,,1.0,,0.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,0.0,1.0,0.0,When did the president who said Tear Down This Wall die?,"June 5, 2004",0,1,0,0.0,0.0,0,1
What is the lowest elevation of the longest railway tunnel?,312 m,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,1.0,,1.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,What is the lowest elevation of the longest railway tunnel?,312 m,0,0,0,0.0,0.0,0,0
"When did the person who said ""Cogito, ergo sum."" die?","February 11, 1650",,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,0.0,,,1.0,,,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,1.0,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,1.0,0.0,"When did the person who said ""Cogito, ergo sum."" die?","February 11, 1650",0,0,0,0.0,0.0,0,0
When did the person who delivered the Gettysburg Address die?,"April 15, 1865",,,,,,0.0,,,,,,,,,,,1.0,,,,,,1.0,,,0.0,,,0.0,,,,,,,1.0,,,,,1.0,1.0,,0.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,0.0,,1.0,0.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,1.0,,,,,,1.0,0.0,1.0,0.0,When did the person who delivered the Gettysburg Address die?,"April 15, 1865",0,1,0,0.0,0.0,0,1
Who was governor of Florida during Hurricane Irma?,Rick Scott,,,,,,1.0,,,,0.0,,,,0.0,,,,,1.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,,1.0,,,,,,,,0.0,,,,,,,,1.0,,0.0,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,1.0,,,,1.0,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,1.0,0.0,Who was governor of Florida during Hurricane Irma?,Rick Scott,1,1,1,1.0,1.0,1,1
For which club did the winner of the 2007 Ballon d'Or play for in 2012?,Real Madrid,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,1.0,,1.0,,1.0,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,1.0,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,1.0,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,For which club did the winner of the 2007 Ballon d'Or play for in 2012?,Real Madrid,0,0,0,0.0,1.0,1,0
What's the capital city of the country that was the champion of the 2010 World Cup?,Madrid,,,,,,,,,1.0,1.0,,,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,0.0,,0.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,0.0,,,,,0.0,,,,,,,1.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,1.0,0.0,1.0,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,1.0,,,0.0,1.0,0.0,What's the capital city of the country that was the champion of the 2010 World Cup?,Madrid,0,1,0,0.0,1.0,1,0
When was the anime studio that made Sword Art Online founded?,"May 9, 2005",,,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,1.0,,,,0.0,,,0.0,,,,1.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,1.0,,,,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,1.0,,,,,0.0,0.0,0.0,,,,,0.0,1.0,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,When was the anime studio that made Sword Art Online founded?,"May 9, 2005",0,0,0,0.0,0.0,0,0
Who was the first king of the longest Chinese dynasty?,King Wu of Zhou,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,Who was the first king of the longest Chinese dynasty?,King Wu of Zhou,0,1,0,0.0,0.0,0,0
Who was the last emperor of the dynasty that succeeded the Song dynasty?,Toghon Temür,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,Who was the last emperor of the dynasty that succeeded the Song dynasty?,Toghon Temür,0,1,0,0.0,0.0,0,0
What's the motto of the oldest California State university?,Powering Silicon Valley,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,1.0,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,What's the motto of the oldest California State university?,Powering Silicon Valley,0,0,0,0.0,0.0,0,0
What's the capital of the state that the College of William & Mary is in?,Richmond,,,1.0,,,,,1.0,1.0,,,,,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,,,,0.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,0.0,,,,,0.0,,,,,,,1.0,,,,,,1.0,,1.0,0.0,,,,,,1.0,,0.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,1.0,,1.0,,,1.0,1.0,0.0,,,,,,,,,0.0,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,0.0,1.0,0.0,What's the capital of the state that the College of William & Mary is in?,Richmond,0,1,0,1.0,0.0,1,1
What's the capital of the state that Washington University in St. Louis is in?,Jefferson City,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,0.0,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,0.0,1.0,0.0,What's the capital of the state that Washington University in St. Louis is in?,Jefferson City,0,1,0,0.0,1.0,1,1
What's the capital of the state that Harvard University is in?,Boston,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,0.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,0.0,,,1.0,,,0.0,1.0,0.0,What's the capital of the state that Harvard University is in?,Boston,0,1,1,1.0,0.0,1,1
What's the capital of the state that the Space Needle is at?,Olympia,,,1.0,,,,,,1.0,1.0,,,,0.0,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,0.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,0.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,0.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,0.0,1.0,0.0,What's the capital of the state that the Space Needle is at?,Olympia,0,1,0,0.0,0.0,0,1
